,209,193,SMR_VSA4,PEOE_VSA9,VSA_EState9,SlogP_VSA2,FpDensityMorgan2,FpDensityMorgan3,PEOE_VSA6,MinEStateIndex,VSA_EState5,Chi0v,Ka_mean
32,0,0,0.33737909544726796,0.11954179803361108,0.3985883845141906,0.1819953721893488,0.805246582382644,0.6188294963116437,0.30462377169744637,0.8531230887988552,0.0058374079566802795,0.2626869459875556,0.019369364037513388
44,0,1,0.14966293873883035,0.1739470319093187,0.3756330652407772,0.09283172768510886,0.5347747249906,0.8240363448044079,0.2000797129489479,0.12510101812035235,0.06895327202994912,0.3160570954935412,0.004210516945585712
53,0,1,0.057528892247162615,0.3134311554848787,0.47657544499578863,0.2602845725979452,0.9854590992360248,0.262646560894358,0.3680502312745445,0.7000949708898185,0.8041391486416576,0.7820035023295384,0.040708509489826766
61,0,0,0.4649832487462623,0.07474618951997826,0.3135600449723142,0.06550243764159257,0.20463480484485605,0.214533653380026,0.154667791947966,0.9710172065360417,0.02147229826163937,0.22018341589512036,0.07519538023564484
64,0,0,0.04223730439102844,0.4911934356818013,0.3748545613896056,0.707611588851482,0.3692783859695886,0.45066769645209404,0.319193600729232,0.9111728337299221,0.08951262680217156,0.17612774280189294,0.006734406966011917
74,0,0,0.8453462016069802,0.013609403437822534,0.4815552245736652,0.0032583943309367203,0.7852468338172985,0.939049663343383,0.0033356957717309843,0.8219749290300778,0.40617413432873345,0.1428058501515315,0.08080047052506081
78,1,1,0.04711415597652639,0.18969047574371148,0.3684041048755776,0.38366264445112014,0.05021430446584085,0.42058620188847295,0.14224052963528144,0.854713934763188,0.12445150873169072,0.8497884061059446,0.03465054897498394
80,1,1,0.00039178966702734484,0.17459516093833027,0.4085767329784753,0.09870855345898061,0.5020985565994092,0.5498479284786305,0.12492177924546177,0.7166054575362576,0.06711728505885987,0.39200447637551883,0.006918537594173727
85,1,1,0.01716162859651419,0.5484396719616327,0.6052015003729607,0.39907198167489016,0.012635816020431512,0.05025137158400661,0.6388909261716875,0.814758144790917,0.02157404767670691,0.8056578807702299,0.7513901728626793
95,1,1,0.008776630326688557,0.07548878548349756,0.4105766745986923,0.06712819791683637,0.3936065784301588,0.6690921982907313,0.630461600934961,0.7896830086948958,0.08240934430856764,0.723741767978056,0.35669031272383145
110,0,0,0.6082445852067392,0.2104925699743478,0.4753512955913621,0.13590588978584656,0.5390026627886672,0.2751198372800605,0.06400617701369743,0.8500726666896686,0.14031908547747124,0.18029156877013644,0.023267528897329935
112,1,1,0.010264953616666388,0.24398571224395138,0.7092205485854959,0.1528324522300758,0.5902916423041866,0.4019528587646263,0.5181560545976841,0.7409988561822262,0.1436820037459191,0.6156786202751404,0.005655546204219292
113,1,1,0.035707664854176376,0.11868191782280826,0.38440388674086207,0.10008584956305061,0.20413477438721117,0.039562682673230376,0.1800581193347222,0.8857049756463545,0.6100270950846232,0.42062536443268433,0.032558382357795596
124,0,0,0.14118183566249162,0.16680925493448354,0.3206394528446058,0.12353114990041142,0.40315757694965604,0.8599229117269018,0.29513596867627345,0.6805081842247469,0.024587494828565593,0.41378258676333435,0.045980020839257355
148,0,0,0.04453179687315312,0.1935895894200843,0.32830578135639815,0.14251483488638947,0.2156895667676362,0.7016774137679216,0.13350929655630114,0.9644189663847414,0.0468718264898929,0.12765489227892246,0.029257561607479048
152,0,0,0.10714232219925729,0.7060750109981389,0.406341312542826,0.014518780407241486,0.7605393131404848,0.930706956972233,0.17652737032393254,0.8167785363001072,0.0832596496186082,0.11799008735804908,0.7271429427414706
154,0,1,0.02034220418685917,0.260922755786573,0.38616403227344753,0.1386605678157042,0.8256705872744503,0.44016152694722005,0.742115870153082,0.0540442187328333,0.14173978189601696,0.2883955977150519,0.019016683409876667
165,1,1,0.03817929138258054,0.022559461777952955,0.3804192010693674,0.6281368095941565,0.47751645803829834,0.31334781229990527,0.26642254143103394,0.8762360840172829,0.05415624970264191,0.1712595049444028,0.7656977078014588
166,1,1,0.6559063132693753,0.14726778137893068,0.4769760094914017,0.1499440090382358,0.24623530455280612,0.5709272359778675,0.6011532875753124,0.7398215874805153,0.6757721745802151,0.5674724722401574,0.9542893525323017
169,0,0,0.5021024043159492,0.1650017326087101,0.28248141812598443,0.04382731235839986,0.47941619045315453,0.3675428276289693,0.08383242346846137,0.9151881909772912,0.058471837541742566,0.25793329651418734,0.02377513091252756
177,1,1,0.07402700507239579,0.10403340796913385,0.3879882507984324,0.05002821123668619,0.4325011610257818,0.5695458679308338,0.37999335607030627,0.6895070986089861,0.527717806936926,0.678277404328777,0.8676506475768537
181,0,0,0.5854028778030915,0.15321185107820537,0.44211192562023416,0.5397050315432916,0.4567059645824887,0.3504550153266479,0.06091032608514932,0.8118616274867098,0.14202417955527638,0.5437499487401524,0.06498536767063981
188,0,0,0.0812004110518165,0.5123205317036387,0.3951199761893893,0.6839022270953332,0.2443313709909596,0.6179592591221376,0.015517893464798066,0.7923042578836592,0.3895341552913237,0.45278819309247553,0.06906137493773348
192,0,1,0.05425792382808691,0.1703661154384522,0.8769238321550574,0.9002711908730704,0.32117666403947764,0.032226925407974505,0.19809421743921124,0.7716613381990258,0.1689255357296769,0.50572980750778,0.020185975727946528
